FS 1289830887990 322
CB 1289830887990
CU 1289830887990 322
CF 1289830887991
FS 1289830888003 324
CB 1289830888003
CU 1289830888004 324
CF 1289830888005
FS 1289830888007 326
CB 1289830888007
CU 1289830888007 326
CF 1289830888008
FS 1289830888020 0
FS 1289830888021 570
CB 1289830888021
CU 1289830888022 570
CF 1289830888023
FS 1289830888025 0
FS 1289830888038 585
CB 1289830888038
CU 1289830888039 585
CF 1289830888039
FS 1289830888041 583
CB 1289830888042
CU 1289830888042 583
CF 1289830888043
FS 1289830888053 0
FS 1289830888055 0
FS 1289830888056 553
CB 1289830888056
CU 1289830888057 553
CF 1289830888057
FS 1289830888163 577
CB 1289830888163
CU 1289830888164 577
CF 1289830888165
FS 1289830888178 743
CB 1289830888178
CU 1289830888185 743
CF 1289830888186
FS 1289830888203 544
CB 1289830888203
CU 1289830888204 544
CF 1289830888205
FS 1289830888221 583
CB 1289830888221
CU 1289830888222 583
CF 1289830888223
FS 1289830888238 564
CB 1289830888238
CU 1289830888243 564
CF 1289830888244
FS 1289830888255 530
CB 1289830888255
CU 1289830888256 530
CF 1289830888257
FS 1289830888297 544
CB 1289830888298
CU 1289830888306 544
CF 1289830888307
FS 1289830888310 726
CB 1289830888311
CU 1289830888311 726
CF 1289830888313
FS 1289830888314 587
CB 1289830888314
CU 1289830888315 587
CF 1289830888317
FS 1289830888320 761
CB 1289830888321
CU 1289830888323 761
CF 1289830888324
FS 1289830888325 566
CB 1289830888326
CU 1289830888326 566
CF 1289830888327
FS 1289830888337 548
CB 1289830888337
CU 1289830888338 548
CF 1289830888338
FS 1289830888342 579
CB 1289830888342
CU 1289830888342 579
CF 1289830888343
FS 1289830888347 1091
CB 1289830888347
CU 1289830888348 1091
CF 1289830888349
FS 1289830888358 545
CB 1289830888358
CU 1289830888359 545
CF 1289830888359
FS 1289830888365 561
CB 1289830888365
CU 1289830888366 561
CF 1289830888367
FS 1289830888369 568
CB 1289830888369
CU 1289830888371 568
CF 1289830888372
FS 1289830888374 0
FS 1289830888375 646
CB 1289830888375
CU 1289830888376 646
CF 1289830888377
FS 1289830888380 576
CB 1289830888380
CU 1289830888380 576
CF 1289830888381
FS 1289830888384 574
CB 1289830888384
CU 1289830888385 574
CF 1289830888386
FS 1289830888389 556
CB 1289830888389
CU 1289830888390 556
CF 1289830888394
FS 1289830888396 571
CB 1289830888396
CU 1289830888398 571
CF 1289830888398
FS 1289830888401 717
CB 1289830888401
CU 1289830888402 717
CF 1289830888402
FS 1289830888406 592
CB 1289830888407
CU 1289830888407 592
CF 1289830888408
FS 1289830888409 595
CB 1289830888410
CU 1289830888410 595
CF 1289830888411
FS 1289830888422 583
CB 1289830888422
CU 1289830888423 583
CF 1289830888424
FS 1289830888428 583
CB 1289830888429
CU 1289830888435 583
CF 1289830888435
FS 1289830888439 584
CB 1289830888439
CU 1289830888441 584
CF 1289830888441
FS 1289830888450 572
CB 1289830888451
CU 1289830888455 572
CF 1289830888457
FS 1289830888462 544
CB 1289830888462
CU 1289830888463 544
CF 1289830888464
FS 1289830888467 589
CB 1289830888467
CU 1289830888467 589
CF 1289830888468
FS 1289830888471 596
CB 1289830888471
CU 1289830888472 596
CF 1289830888472
FS 1289830888481 740
CB 1289830888482
CU 1289830888483 740
CF 1289830888484
FS 1289830888489 577
CB 1289830888489
CU 1289830888490 577
CF 1289830888491
FS 1289830888493 567
CB 1289830888494
CU 1289830888494 567
CF 1289830888495
FS 1289830888497 542
CB 1289830888497
CU 1289830888497 542
CF 1289830888498
FS 1289830888501 584
CB 1289830888501
CU 1289830888502 584
CF 1289830888503
FS 1289830888505 548
CB 1289830888505
CU 1289830888505 548
CF 1289830888506
FS 1289830888508 574
CB 1289830888508
CU 1289830888509 574
CF 1289830888510
FS 1289830888513 564
CB 1289830888514
CU 1289830888514 564
CF 1289830888515
FS 1289830888517 641
CB 1289830888517
CU 1289830888518 641
CF 1289830888518
FS 1289830888519 558
CB 1289830888520
CU 1289830888520 558
CF 1289830888521
FS 1289830888522 552
CB 1289830888522
CU 1289830888523 552
CF 1289830888523
FS 1289830888525 584
CB 1289830888525
CU 1289830888526 584
CF 1289830888526
FS 1289830888530 586
CB 1289830888530
CU 1289830888531 586
CF 1289830888531
FS 1289830888533 577
CB 1289830888533
CU 1289830888534 577
CF 1289830888534
FS 1289830888536 581
CB 1289830888536
CU 1289830888537 581
CF 1289830888538
FS 1289830888540 596
CB 1289830888540
CU 1289830888541 596
CF 1289830888541
FS 1289830888544 561
CB 1289830888544
CU 1289830888544 561
CF 1289830888545
FS 1289830888549 0
FS 1289830888550 722
CB 1289830888550
CU 1289830888551 722
CF 1289830888551
FS 1289830888553 537
CB 1289830888553
CU 1289830888554 537
CF 1289830888554
FS 1289830888556 0
FS 1289830888558 724
CB 1289830888558
CU 1289830888558 724
CF 1289830888559
FS 1289830888563 701
CB 1289830888563
CU 1289830888565 701
CF 1289830888566
FS 1289830888568 607
CB 1289830888568
CU 1289830888568 607
CF 1289830888569
FS 1289830888571 707
CB 1289830888571
CU 1289830888572 707
CF 1289830888573
FS 1289830888576 613
CB 1289830888576
CU 1289830888576 613
CF 1289830888577
FS 1289830888579 721
CB 1289830888579
CU 1289830888581 721
CF 1289830888582
FS 1289830888587 706
CB 1289830888588
CU 1289830888588 706
CF 1289830888589
