B 2038569563
F 37997
FS 1291135518535 0
FS 1291135518580 0
FS 1291135518583 332464
CB 1291135518584
CU 1291135518723 332464
CF 1291135518785
FS 1291135518788 0
FS 1291135518792 0
FS 1291135518794 0
FS 1291135518795 18693813
CB 1291135518795
CU 1291135519592 1048576
CU 1291135519997 1048576
CU 1291135520374 1048576
CU 1291135520739 1048576
CU 1291135521149 1048576
CU 1291135521519 1048576
CU 1291135521893 1048576
CU 1291135522261 1048576
CU 1291135522630 1048576
CU 1291135522997 1048576
CU 1291135523361 1048576
CU 1291135523728 1048576
CU 1291135524090 1048576
CU 1291135524449 1048576
CU 1291135524814 1048576
CU 1291135525671 1048576
CU 1291135526038 1048576
CU 1291135526347 868021
CF 1291135526403
FS 1291135526413 0
FS 1291135526416 0
FS 1291135526420 0
FS 1291135526423 0
FS 1291135526427 0
FS 1291135526429 0
FS 1291135526430 0
FS 1291135526431 0
FS 1291135526433 0
FS 1291135526434 0
FS 1291135526436 0
FS 1291135526437 0
FS 1291135526505 938
CB 1291135526506
CU 1291135526539 938
CF 1291135526540
FS 1291135526543 0
FS 1291135526548 0
FS 1291135526552 3
CB 1291135526552
CU 1291135526567 3
CF 1291135526567
FS 1291135526569 0
FS 1291135526571 0
CB 1291135526571
CF 1291135526572
FS 1291135526574 0
CB 1291135526574
CF 1291135526575
FS 1291135526577 0
FS 1291135526583 0
FS 1291135526585 0
FS 1291135526587 0
FS 1291135526589 0
FS 1291135526591 0
FS 1291135526598 0
FS 1291135526601 0
FS 1291135526603 0
FS 1291135526606 0
FS 1291135526609 0
FS 1291135526612 0
FS 1291135526614 0
FS 1291135526616 0
FS 1291135526670 0
FS 1291135526699 0
FS 1291135526709 0
FS 1291135526712 0
CB 1291135526712
CF 1291135526759
FS 1291135526775 0
FS 1291135526778 0
FS 1291135526779 0
FS 1291135526781 0
FS 1291135526783 0
FS 1291135526785 0
FS 1291135526787 0
FS 1291135526793 0
FS 1291135526796 0
FS 1291135526799 0
FS 1291135526801 4
CB 1291135526801
CU 1291135526819 4
CF 1291135526821
FS 1291135526822 0
FS 1291135526855 195
CB 1291135526855
CU 1291135526872 195
CF 1291135526873
FS 1291135526876 2878
CB 1291135526876
CU 1291135526915 2878
CF 1291135526916
FS 1291135526918 433
CB 1291135526918
CU 1291135526919 433
CF 1291135526920
FS 1291135526922 0
FS 1291135526923 0
FS 1291135526925 0
FS 1291135526949 0
CB 1291135526949
CF 1291135526950
FS 1291135526952 0
FS 1291135526955 0
FS 1291135526966 257
CB 1291135526967
CU 1291135526980 257
CF 1291135526981
FS 1291135526983 0
FS 1291135526985 0
FS 1291135526988 0
FS 1291135526990 0
CB 1291135526991
CF 1291135526991
FS 1291135526995 0
CB 1291135526995
CF 1291135526995
FS 1291135526997 0
FS 1291135526999 0
FS 1291135527001 0
FS 1291135527002 0
FS 1291135527006 0
FS 1291135527008 0
FS 1291135527011 0
FS 1291135527013 0
FS 1291135527015 0
FS 1291135527055 0
FS 1291135527058 0
FS 1291135527060 0
FS 1291135527062 0
FS 1291135527063 0
FS 1291135527065 0
FS 1291135527066 0
FS 1291135527068 0
FS 1291135527070 0
FS 1291135527071 0
FS 1291135527076 0
FS 1291135527078 0
FS 1291135527079 0
FS 1291135527081 0
FS 1291135527082 0
FS 1291135527084 0
FS 1291135527086 0
FS 1291135527087 0
FS 1291135527100 43
CB 1291135527100
CU 1291135527114 43
CF 1291135527115
FS 1291135527117 8665
CB 1291135527117
CU 1291135527118 8665
CF 1291135527119
FS 1291135527121 908
CB 1291135527121
CU 1291135527144 908
CF 1291135527201
FS 1291135527203 24631
CB 1291135527203
CU 1291135527215 24631
CF 1291135527215
FS 1291135527228 150
CB 1291135527228
CU 1291135527239 150
CF 1291135527240
FS 1291135527242 5678
CB 1291135527242
CU 1291135527244 5678
CF 1291135527244
FS 1291135527247 1674
CB 1291135527248
CU 1291135527248 1674
CF 1291135527249
FS 1291135527250 87
CB 1291135527251
CU 1291135527252 87
CF 1291135527252
FS 1291135527254 236
CB 1291135527254
CU 1291135527255 236
CF 1291135527255
FS 1291135527257 0
CB 1291135527258
CF 1291135527258
FS 1291135527259 0
FS 1291135527261 0
FS 1291135527289 0
FS 1291135527292 3927
CB 1291135527292
CU 1291135527293 3927
CF 1291135527352
FS 1291135527356 0
FS 1291135527364 235
CB 1291135527364
CU 1291135527365 235
CF 1291135527366
FS 1291135527368 132
CB 1291135527368
CU 1291135527369 132
CF 1291135527370
FS 1291135527372 3667
CB 1291135527372
CU 1291135527383 3667
CF 1291135527384
FS 1291135527386 5766
CB 1291135527386
CU 1291135527389 5766
CF 1291135527390
FS 1291135527392 1939
CB 1291135527393
CU 1291135527395 1939
CF 1291135527396
FS 1291135527397 1660
CB 1291135527397
CU 1291135527398 1660
CF 1291135527399
FS 1291135527400 971
CB 1291135527400
CU 1291135527401 971
CF 1291135527402
FS 1291135527403 677959
CB 1291135527403
CU 1291135527635 677959
CF 1291135527681
FS 1291135527684 179
CB 1291135527685
CU 1291135527686 179
CF 1291135527686
FS 1291135527689 772
CB 1291135527689
CU 1291135527690 772
CF 1291135527690
FS 1291135527692 1441
CB 1291135527692
CU 1291135527692 1441
CF 1291135527693
FS 1291135527696 0
CB 1291135527696
CF 1291135527696
FS 1291135527698 61932
CB 1291135527698
CU 1291135527741 61932
CF 1291135527743
FS 1291135527746 66444
CB 1291135527746
CU 1291135527778 66444
CF 1291135527779
FS 1291135527780 4598
CB 1291135527780
CU 1291135527833 4598
CF 1291135527833
FS 1291135527835 0
FS 1291135527838 0
FS 1291135527840 0
FS 1291135527861 14003
CB 1291135527862
CU 1291135527864 14003
CF 1291135527865
FS 1291135527867 3685
CB 1291135527867
CU 1291135527868 3685
CF 1291135527868
FS 1291135527872 0
FS 1291135527879 0
FS 1291135527882 2077
CB 1291135527882
CU 1291135527883 2077
CF 1291135527884
FS 1291135527885 0
FS 1291135527888 0
FS 1291135527890 0
FS 1291135527893 329
CB 1291135527893
CU 1291135527893 329
CF 1291135527894
FS 1291135527896 322
CB 1291135527896
CU 1291135527897 322
CF 1291135527897
FS 1291135527899 334
CB 1291135527899
CU 1291135527900 334
CF 1291135527900
FS 1291135527902 335
CB 1291135527902
CU 1291135527903 335
CF 1291135527903
FS 1291135527906 323
CB 1291135527906
CU 1291135527906 323
CF 1291135527907
FS 1291135527909 322
CB 1291135527909
CU 1291135527910 322
CF 1291135527911
FS 1291135527912 324
CB 1291135527912
CU 1291135527913 324
CF 1291135527913
FS 1291135527915 326
CB 1291135527915
CU 1291135527916 326
CF 1291135527916
FS 1291135527918 0
FS 1291135527922 570
CB 1291135527922
CU 1291135527923 570
CF 1291135527923
FS 1291135527925 0
FS 1291135527927 585
CB 1291135527927
CU 1291135527928 585
CF 1291135527928
FS 1291135527930 583
CB 1291135527930
CU 1291135527931 583
CF 1291135527931
FS 1291135527933 0
FS 1291135527934 0
FS 1291135527936 553
CB 1291135527936
CU 1291135527978 553
CF 1291135527978
FS 1291135527981 577
CB 1291135527981
CU 1291135527981 577
CF 1291135527982
FS 1291135527984 743
CB 1291135527984
CU 1291135527985 743
CF 1291135527985
FS 1291135527987 544
CB 1291135527987
CU 1291135527988 544
CF 1291135527989
FS 1291135527990 583
CB 1291135527990
CU 1291135527991 583
CF 1291135527991
FS 1291135527993 564
CB 1291135527993
CU 1291135527994 564
CF 1291135527994
FS 1291135527996 530
CB 1291135527996
CU 1291135527997 530
CF 1291135527998
FS 1291135528000 544
CB 1291135528000
CU 1291135528001 544
CF 1291135528002
FS 1291135528003 726
CB 1291135528003
CU 1291135528004 726
CF 1291135528005
FS 1291135528006 587
CB 1291135528007
CU 1291135528007 587
CF 1291135528008
FS 1291135528010 761
CB 1291135528010
CU 1291135528010 761
CF 1291135528010
FS 1291135528012 566
CB 1291135528012
CU 1291135528013 566
CF 1291135528014
FS 1291135528017 548
CB 1291135528017
CU 1291135528018 548
CF 1291135528019
FS 1291135528021 579
CB 1291135528021
CU 1291135528021 579
CF 1291135528022
FS 1291135528024 1091
CB 1291135528024
CU 1291135528024 1091
CF 1291135528025
FS 1291135528026 545
CB 1291135528027
CU 1291135528027 545
CF 1291135528028
FS 1291135528029 561
CB 1291135528030
CU 1291135528030 561
CF 1291135528031
FS 1291135528034 568
CB 1291135528034
CU 1291135528035 568
CF 1291135528035
FS 1291135528037 0
FS 1291135528039 646
CB 1291135528039
CU 1291135528039 646
CF 1291135528040
FS 1291135528042 576
CB 1291135528043
CU 1291135528044 576
CF 1291135528044
FS 1291135528047 574
CB 1291135528047
CU 1291135528048 574
CF 1291135528048
FS 1291135528052 556
CB 1291135528052
CU 1291135528053 556
CF 1291135528053
FS 1291135528055 571
CB 1291135528055
CU 1291135528056 571
CF 1291135528056
FS 1291135528058 717
CB 1291135528058
CU 1291135528058 717
CF 1291135528059
FS 1291135528061 592
CB 1291135528061
CU 1291135528061 592
CF 1291135528062
FS 1291135528063 595
CB 1291135528063
CU 1291135528064 595
CF 1291135528065
FS 1291135528068 583
CB 1291135528068
CU 1291135528069 583
CF 1291135528070
FS 1291135528071 583
CB 1291135528072
CU 1291135528072 583
CF 1291135528073
FS 1291135528076 584
CB 1291135528076
CU 1291135528077 584
CF 1291135528077
FS 1291135528122 572
CB 1291135528122
CU 1291135528125 572
CF 1291135528126
FS 1291135528128 544
CB 1291135528128
CU 1291135528128 544
CF 1291135528129
FS 1291135528131 589
CB 1291135528131
CU 1291135528131 589
CF 1291135528132
FS 1291135528134 596
CB 1291135528134
CU 1291135528134 596
CF 1291135528135
FS 1291135528136 740
CB 1291135528136
CU 1291135528137 740
CF 1291135528138
FS 1291135528142 577
CB 1291135528142
CU 1291135528143 577
CF 1291135528143
FS 1291135528145 567
CB 1291135528145
CU 1291135528146 567
CF 1291135528147
FS 1291135528148 542
CB 1291135528148
CU 1291135528149 542
CF 1291135528150
FS 1291135528152 584
CB 1291135528152
CU 1291135528153 584
CF 1291135528153
FS 1291135528155 548
CB 1291135528155
CU 1291135528155 548
CF 1291135528156
FS 1291135528159 574
CB 1291135528159
CU 1291135528160 574
CF 1291135528161
FS 1291135528163 564
CB 1291135528163
CU 1291135528163 564
CF 1291135528164
FS 1291135528165 641
CB 1291135528165
CU 1291135528166 641
CF 1291135528167
FS 1291135528168 558
CB 1291135528168
CU 1291135528169 558
CF 1291135528170
FS 1291135528171 552
CB 1291135528171
CU 1291135528172 552
CF 1291135528173
FS 1291135528176 584
CB 1291135528177
CU 1291135528177 584
CF 1291135528178
FS 1291135528179 586
CB 1291135528179
CU 1291135528180 586
CF 1291135528181
FS 1291135528182 577
CB 1291135528182
CU 1291135528183 577
CF 1291135528183
FS 1291135528185 581
CB 1291135528185
CU 1291135528185 581
CF 1291135528187
FS 1291135528188 596
CB 1291135528188
CU 1291135528189 596
CF 1291135528190
FS 1291135528193 561
CB 1291135528194
CU 1291135528195 561
CF 1291135528195
FS 1291135528197 0
FS 1291135528198 722
CB 1291135528199
CU 1291135528199 722
CF 1291135528200
FS 1291135528201 537
CB 1291135528201
CU 1291135528202 537
CF 1291135528203
FS 1291135528204 0
