B 2038569563
F 38017
FS 1290152217977 0
FS 1290152218063 0
FS 1290152218307 332464
CB 1290152218308
CU 1290152218993 332464
CF 1290152219442
FS 1290152219445 0
FS 1290152219457 0
FS 1290152219459 0
FS 1290152219460 18693813
CB 1290152219461
CU 1290152219682 1048576
CU 1290152220537 1048576
CU 1290152221021 1048576
CU 1290152221540 1048576
CU 1290152222021 1048576
CU 1290152222615 1048576
CU 1290152223170 1048576
CU 1290152223655 1048576
CU 1290152224140 1048576
CU 1290152224977 1048576
CU 1290152225453 1048576
CU 1290152226008 1048576
CU 1290152226501 1048576
CU 1290152226986 1048576
CU 1290152227468 1048576
CU 1290152227961 1048576
CU 1290152228447 1048576
CU 1290152228909 868021
CF 1290152229358
FS 1290152229365 0
FS 1290152229370 0
FS 1290152229372 0
FS 1290152229374 0
FS 1290152229375 0
FS 1290152229377 0
FS 1290152229381 0
FS 1290152229385 0
FS 1290152229391 0
FS 1290152229394 0
FS 1290152229396 0
FS 1290152229397 0
FS 1290152229436 938
CB 1290152229436
CU 1290152229448 938
CF 1290152229449
FS 1290152229451 0
FS 1290152229454 0
FS 1290152229468 3
CB 1290152229468
CU 1290152229838 3
CF 1290152229838
FS 1290152229841 0
FS 1290152229844 0
CB 1290152229844
CF 1290152229845
FS 1290152229847 0
CB 1290152229848
CF 1290152229848
FS 1290152229851 0
FS 1290152229854 0
FS 1290152229856 0
FS 1290152229858 0
FS 1290152229866 0
FS 1290152229868 0
FS 1290152229870 0
FS 1290152229871 0
FS 1290152229874 0
FS 1290152229878 0
FS 1290152229881 0
FS 1290152229883 0
FS 1290152229885 0
FS 1290152229887 0
FS 1290152229921 0
FS 1290152230191 0
FS 1290152230193 0
FS 1290152230195 0
CB 1290152230195
CF 1290152230198
FS 1290152230200 0
FS 1290152230202 0
FS 1290152230204 0
FS 1290152230205 0
FS 1290152230207 0
FS 1290152230209 0
FS 1290152230211 0
FS 1290152230212 0
FS 1290152230218 0
FS 1290152230221 0
FS 1290152230224 4
CB 1290152230224
CU 1290152230243 4
CF 1290152230244
FS 1290152230256 0
FS 1290152230293 195
CB 1290152230294
CU 1290152230605 195
CF 1290152230606
FS 1290152230611 2878
CB 1290152230611
CU 1290152230613 2878
CF 1290152230619
FS 1290152230625 433
CB 1290152230625
CU 1290152230626 433
CF 1290152230626
FS 1290152230629 0
FS 1290152230631 0
FS 1290152230632 0
FS 1290152230658 0
CB 1290152230658
CF 1290152230666
FS 1290152230675 0
FS 1290152230678 0
FS 1290152230696 257
CB 1290152230696
CU 1290152230994 257
CF 1290152230995
FS 1290152230997 0
FS 1290152231000 0
FS 1290152231002 0
FS 1290152231005 0
CB 1290152231005
CF 1290152231005
FS 1290152231007 0
CB 1290152231008
CF 1290152231008
FS 1290152231011 0
FS 1290152231013 0
FS 1290152231015 0
FS 1290152231018 0
FS 1290152231021 0
FS 1290152231023 0
FS 1290152231024 0
FS 1290152231027 0
FS 1290152231029 0
FS 1290152231031 0
FS 1290152231036 0
FS 1290152231037 0
FS 1290152231039 0
FS 1290152231041 0
FS 1290152231043 0
FS 1290152231044 0
FS 1290152231045 0
FS 1290152231047 0
FS 1290152231048 0
FS 1290152231050 0
FS 1290152231053 0
FS 1290152231055 0
FS 1290152231056 0
FS 1290152231058 0
FS 1290152231060 0
FS 1290152231061 0
FS 1290152231062 0
FS 1290152231081 43
CB 1290152231081
CU 1290152231345 43
CF 1290152231356
FS 1290152231359 8665
CB 1290152231360
CU 1290152231362 8665
CF 1290152231363
FS 1290152231369 908
CB 1290152231369
CU 1290152231389 908
CF 1290152231391
FS 1290152231399 24631
CB 1290152231399
CU 1290152231507 24631
CF 1290152231977
FS 1290152231999 150
CB 1290152231999
CU 1290152232013 150
CF 1290152232014
FS 1290152232016 5678
CB 1290152232016
CU 1290152232018 5678
CF 1290152232018
FS 1290152232023 1674
CB 1290152232023
CU 1290152232023 1674
CF 1290152232024
FS 1290152232025 87
CB 1290152232026
CU 1290152232040 87
CF 1290152232041
FS 1290152232055 236
CB 1290152232056
CU 1290152232057 236
CF 1290152232058
FS 1290152232073 0
CB 1290152232073
CF 1290152232074
FS 1290152232090 0
FS 1290152232396 0
FS 1290152232400 0
FS 1290152232402 3927
CB 1290152232402
CU 1290152232403 3927
CF 1290152232404
FS 1290152232406 0
FS 1290152232409 235
CB 1290152232409
CU 1290152232410 235
CF 1290152232410
FS 1290152232412 132
CB 1290152232412
CU 1290152232413 132
CF 1290152232414
FS 1290152232417 3667
CB 1290152232417
CU 1290152232436 3667
CF 1290152232437
FS 1290152232442 5766
CB 1290152232443
CU 1290152232445 5766
CF 1290152232445
FS 1290152232447 1939
CB 1290152232448
CU 1290152232449 1939
CF 1290152232450
FS 1290152232460 1660
CB 1290152232460
CU 1290152232461 1660
CF 1290152232462
FS 1290152232464 971
CB 1290152232465
CU 1290152232465 971
CF 1290152232466
FS 1290152232480 677959
CB 1290152232481
CU 1290152232635 677959
CF 1290152233071
FS 1290152233073 179
CB 1290152233073
CU 1290152233074 179
CF 1290152233075
FS 1290152233089 772
CB 1290152233089
CU 1290152233090 772
CF 1290152233091
FS 1290152233093 1441
CB 1290152233093
CU 1290152233094 1441
CF 1290152233095
FS 1290152233104 0
CB 1290152233104
CF 1290152233105
FS 1290152233110 61932
CB 1290152233110
CU 1290152233229 61932
CF 1290152233717
FS 1290152233719 66444
CB 1290152233719
CU 1290152233854 66444
CF 1290152234289
FS 1290152234290 4598
CB 1290152234290
CU 1290152234304 4598
CF 1290152234305
FS 1290152234313 0
FS 1290152234326 0
FS 1290152234327 0
FS 1290152234345 14003
CB 1290152234345
CU 1290152234347 14003
CF 1290152234347
FS 1290152234364 3685
CB 1290152234365
CU 1290152234366 3685
CF 1290152234367
FS 1290152234379 0
FS 1290152234381 0
FS 1290152234383 2077
CB 1290152234383
CU 1290152234384 2077
CF 1290152234384
FS 1290152234397 0
FS 1290152234721 0
FS 1290152234733 0
FS 1290152234738 329
CB 1290152234738
CU 1290152234749 329
CF 1290152234750
FS 1290152234764 322
CB 1290152234764
CU 1290152234765 322
CF 1290152234765
FS 1290152234781 334
CB 1290152234782
CU 1290152234783 334
CF 1290152234783
FS 1290152234799 335
CB 1290152234799
CU 1290152234800 335
CF 1290152234801
FS 1290152234816 323
CB 1290152234816
CU 1290152234817 323
CF 1290152235126
FS 1290152235134 322
CB 1290152235135
CU 1290152235136 322
CF 1290152235137
FS 1290152235146 324
CB 1290152235146
CU 1290152235147 324
CF 1290152235148
FS 1290152235168 326
CB 1290152235168
CU 1290152235170 326
CF 1290152235171
FS 1290152235197 0
FS 1290152235203 570
CB 1290152235203
CU 1290152235204 570
CF 1290152235204
FS 1290152235206 0
FS 1290152235208 585
CB 1290152235208
CU 1290152235209 585
CF 1290152235210
FS 1290152235212 583
CB 1290152235212
CU 1290152235213 583
CF 1290152235215
FS 1290152235221 0
FS 1290152235222 0
FS 1290152235225 553
CB 1290152235225
CU 1290152235226 553
CF 1290152235227
FS 1290152235228 577
CB 1290152235229
CU 1290152235230 577
CF 1290152235230
FS 1290152235236 743
CB 1290152235238
CU 1290152235239 743
CF 1290152235240
FS 1290152235245 544
CB 1290152235245
CU 1290152235247 544
CF 1290152235248
FS 1290152235255 583
CB 1290152235255
CU 1290152235256 583
CF 1290152235257
FS 1290152235258 564
CB 1290152235259
CU 1290152235259 564
CF 1290152235260
FS 1290152235262 530
CB 1290152235262
CU 1290152235263 530
CF 1290152235263
FS 1290152235270 544
CB 1290152235271
CU 1290152235273 544
CF 1290152235273
FS 1290152235278 726
CB 1290152235278
CU 1290152235279 726
CF 1290152235280
FS 1290152235282 587
CB 1290152235282
CU 1290152235283 587
CF 1290152235284
FS 1290152235285 761
CB 1290152235285
CU 1290152235286 761
CF 1290152235287
FS 1290152235294 566
CB 1290152235294
CU 1290152235295 566
CF 1290152235296
FS 1290152235298 548
CB 1290152235298
CU 1290152235299 548
CF 1290152235300
FS 1290152235306 579
CB 1290152235306
CU 1290152235307 579
CF 1290152235308
FS 1290152235314 1091
CB 1290152235314
CU 1290152235315 1091
CF 1290152235316
FS 1290152235318 545
CB 1290152235319
CU 1290152235320 545
CF 1290152235321
FS 1290152235322 561
CB 1290152235323
CU 1290152235323 561
CF 1290152235324
FS 1290152235333 568
CB 1290152235333
CU 1290152235605 568
CF 1290152235606
FS 1290152235610 0
FS 1290152235615 646
CB 1290152235615
CU 1290152235616 646
CF 1290152235617
FS 1290152235622 576
CB 1290152235622
CU 1290152235622 576
CF 1290152235623
FS 1290152235625 574
CB 1290152235625
CU 1290152235626 574
CF 1290152235626
FS 1290152235631 556
CB 1290152235631
CU 1290152235632 556
CF 1290152235632
FS 1290152235635 571
CB 1290152235635
CU 1290152235636 571
CF 1290152235636
FS 1290152235639 717
CB 1290152235640
CU 1290152235640 717
CF 1290152235641
FS 1290152235643 592
CB 1290152235643
CU 1290152235644 592
CF 1290152235646
FS 1290152235648 595
CB 1290152235648
CU 1290152235650 595
CF 1290152235650
FS 1290152235652 583
CB 1290152235652
CU 1290152235653 583
CF 1290152235654
FS 1290152235655 583
CB 1290152235655
CU 1290152235656 583
CF 1290152235656
FS 1290152235658 584
CB 1290152235658
CU 1290152235659 584
CF 1290152235659
FS 1290152235661 572
CB 1290152235661
CU 1290152235662 572
CF 1290152235663
FS 1290152235664 544
CB 1290152235665
CU 1290152235665 544
CF 1290152235666
FS 1290152235669 589
CB 1290152235670
CU 1290152235671 589
CF 1290152235671
FS 1290152235674 596
CB 1290152235674
CU 1290152235675 596
CF 1290152235675
FS 1290152235677 740
CB 1290152235677
CU 1290152235677 740
CF 1290152235678
FS 1290152235686 577
CB 1290152235687
CU 1290152235687 577
CF 1290152235688
FS 1290152235691 567
CB 1290152235691
CU 1290152235692 567
CF 1290152235692
FS 1290152235697 542
CB 1290152235697
CU 1290152235698 542
CF 1290152235700
FS 1290152235703 584
CB 1290152235703
CU 1290152235703 584
CF 1290152235704
FS 1290152236037 548
CB 1290152236038
CU 1290152236039 548
CF 1290152236040
FS 1290152236043 574
CB 1290152236043
CU 1290152236044 574
CF 1290152236045
FS 1290152236047 564
CB 1290152236047
CU 1290152236047 564
CF 1290152236048
FS 1290152236049 641
CB 1290152236050
CU 1290152236050 641
CF 1290152236051
FS 1290152236052 558
CB 1290152236052
CU 1290152236053 558
CF 1290152236053
FS 1290152236060 552
CB 1290152236061
CU 1290152236061 552
CF 1290152236062
FS 1290152236064 584
CB 1290152236064
CU 1290152236064 584
CF 1290152236065
FS 1290152236066 586
CB 1290152236066
CU 1290152236067 586
CF 1290152236067
FS 1290152236069 577
CB 1290152236069
CU 1290152236070 577
CF 1290152236071
FS 1290152236077 581
CB 1290152236077
CU 1290152236078 581
CF 1290152236079
FS 1290152236082 596
CB 1290152236082
CU 1290152236082 596
CF 1290152236083
FS 1290152236085 561
CB 1290152236085
CU 1290152236085 561
CF 1290152236086
FS 1290152236088 0
FS 1290152236094 722
CB 1290152236095
CU 1290152236096 722
CF 1290152236096
FS 1290152236099 537
CB 1290152236099
CU 1290152236100 537
CF 1290152236100
FS 1290152236102 0
FS 1290152236104 724
CB 1290152236104
CU 1290152236105 724
CF 1290152236105
FS 1290152236112 701
CB 1290152236112
CU 1290152236113 701
CF 1290152236113
FS 1290152236115 607
CB 1290152236116
CU 1290152236116 607
CF 1290152236117
FS 1290152236119 707
CB 1290152236119
CU 1290152236123 707
CF 1290152236125
FS 1290152236145 613
CB 1290152236145
CU 1290152236446 613
CF 1290152236447
FS 1290152236449 721
CB 1290152236450
CU 1290152236450 721
CF 1290152236451
FS 1290152236463 706
CB 1290152236463
CU 1290152236464 706
CF 1290152236464
FS 1290152236466 728
CB 1290152236466
CU 1290152236467 728
CF 1290152236467
FS 1290152236480 701
CB 1290152236480
CU 1290152236481 701
CF 1290152236482
FS 1290152236484 711
CB 1290152236484
CU 1290152236485 711
CF 1290152236485
FS 1290152236500 712
CB 1290152236500
CU 1290152236501 712
CF 1290152236502
FS 1290152236516 556
CB 1290152236517
CU 1290152236518 556
CF 1290152236518
FS 1290152236531 607
CB 1290152236531
CU 1290152236532 607
CF 1290152236533
FS 1290152236534 544
CB 1290152236534
CU 1290152236535 544
CF 1290152236535
FS 1290152236548 713
CB 1290152236548
CU 1290152236838 713
CF 1290152236839
FS 1290152236842 613
CB 1290152236842
CU 1290152236842 613
CF 1290152236843
FS 1290152236851 703
CB 1290152236851
CU 1290152236852 703
CF 1290152236852
FS 1290152236854 705
CB 1290152236854
CU 1290152236855 705
CF 1290152236855
FS 1290152236857 539
CB 1290152236857
CU 1290152236857 539
CF 1290152236858
FS 1290152236868 771
CB 1290152236869
CU 1290152236870 771
CF 1290152236871
FS 1290152236874 698
CB 1290152236874
CU 1290152236875 698
CF 1290152236877
FS 1290152236889 700
CB 1290152236890
CU 1290152236891 700
CF 1290152236891
FS 1290152236893 537
CB 1290152236893
CU 1290152236894 537
CF 1290152236894
FS 1290152236904 706
CB 1290152236904
CU 1290152236905 706
CF 1290152236906
FS 1290152236908 0
FS 1290152236910 355
CB 1290152236910
CU 1290152236911 355
CF 1290152236912
FS 1290152236921 0
FS 1290152236924 776
CB 1290152236924
CU 1290152236925 776
CF 1290152236926
FS 1290152236930 777
CB 1290152236931
CU 1290152236931 777
CF 1290152236932
FS 1290152236936 846
CB 1290152236936
CU 1290152237259 846
CF 1290152237260
FS 1290152237264 747
CB 1290152237264
CU 1290152237265 747
CF 1290152237266
FS 1290152237271 772
CB 1290152237271
CU 1290152237272 772
CF 1290152237273
FS 1290152237275 768
CB 1290152237275
CU 1290152237276 768
CF 1290152237277
FS 1290152237278 748
CB 1290152237279
CU 1290152237280 748
CF 1290152237281
FS 1290152237289 774
CB 1290152237289
CU 1290152237290 774
CF 1290152237290
FS 1290152237293 744
CB 1290152237293
CU 1290152237293 744
CF 1290152237294
FS 1290152237297 734
CB 1290152237297
CU 1290152237297 734
CF 1290152237298
FS 1290152237305 737
CB 1290152237305
CU 1290152237307 737
CF 1290152237308
FS 1290152237309 775
CB 1290152237309
CU 1290152237310 775
CF 1290152237311
FS 1290152237312 781
CB 1290152237312
CU 1290152237313 781
CF 1290152237314
FS 1290152237322 743
CB 1290152237322
CU 1290152237323 743
CF 1290152237324
FS 1290152237326 769
CB 1290152237326
CU 1290152237327 769
CF 1290152237327
FS 1290152237330 742
CB 1290152237330
CU 1290152237331 742
CF 1290152237331
FS 1290152237340 774
CB 1290152237340
CU 1290152237341 774
CF 1290152237342
FS 1290152237344 740
CB 1290152237344
CU 1290152237345 740
CF 1290152237345
FS 1290152237348 741
CB 1290152237348
CU 1290152237348 741
CF 1290152237349
FS 1290152237357 770
CB 1290152237357
CU 1290152237358 770
CF 1290152237359
FS 1290152237361 777
CB 1290152237361
CU 1290152237695 777
CF 1290152237696
FS 1290152237698 768
CB 1290152237698
CU 1290152237699 768
CF 1290152237699
FS 1290152237704 750
CB 1290152237704
CU 1290152237705 750
CF 1290152237705
FS 1290152237707 766
CB 1290152237707
CU 1290152237708 766
CF 1290152237708
FS 1290152237709 792
CB 1290152237710
CU 1290152237710 792
CF 1290152237711
FS 1290152237713 796
CB 1290152237713
CU 1290152237713 796
CF 1290152237714
FS 1290152237715 785
CB 1290152237715
CU 1290152237717 785
CF 1290152237718
FS 1290152237720 778
CB 1290152237720
CU 1290152237721 778
CF 1290152237722
FS 1290152237724 766
CB 1290152237724
CU 1290152237725 766
CF 1290152237725
FS 1290152237727 748
CB 1290152237727
CU 1290152237728 748
CF 1290152237729
FS 1290152237730 783
CB 1290152237730
CU 1290152237731 783
CF 1290152237731
FS 1290152237735 790
CB 1290152237735
CU 1290152237736 790
CF 1290152237736
FS 1290152237738 763
CB 1290152237738
CU 1290152237739 763
CF 1290152237739
FS 1290152237743 771
CB 1290152237744
CU 1290152237744 771
CF 1290152237746
FS 1290152237750 777
CB 1290152237750
CU 1290152237751 777
CF 1290152237751
FS 1290152237754 737
CB 1290152237755
CU 1290152237756 737
CF 1290152237757
FS 1290152237760 783
CB 1290152237760
CU 1290152237760 783
CF 1290152237761
FS 1290152237763 743
CB 1290152237764
CU 1290152237765 743
CF 1290152237765
FS 1290152237767 768
CB 1290152237767
CU 1290152237768 768
CF 1290152237769
FS 1290152237771 759
CB 1290152237771
CU 1290152237772 759
CF 1290152237772
FS 1290152237774 770
CB 1290152237774
CU 1290152237774 770
CF 1290152237775
FS 1290152237777 752
CB 1290152237777
CU 1290152237778 752
CF 1290152237778
FS 1290152237779 753
CB 1290152237780
CU 1290152237780 753
CF 1290152237781
FS 1290152237783 759
CB 1290152237783
CU 1290152237783 759
CF 1290152237784
FS 1290152237787 780
CB 1290152237787
CU 1290152237788 780
CF 1290152237789
FS 1290152237791 779
CB 1290152237791
